"Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Pressure (Pa)","X (m)","Y (m)","Z (m)"
2.48495439446459,2.27334976196289,-1.00343370437622,5.72185235796496e-05,-57.0258604217925,-0.028,-0.015,0
39.969868704697,39.6623725891113,-4.93899011611938,0.304928690195084,-58.4816885859691,-0.028,-0.015,0.001075
39.7179194346275,39.451114654541,-4.58682155609131,0.289386838674545,-9.68576189875057,-0.028,-0.015,0.00215
39.7179194346275,39.451114654541,-4.58682155609131,0.289386838674545,-9.68576189875057,-0.028,-0.015,0.003225
39.7179194346275,39.451114654541,-4.58682155609131,0.289386838674545,-9.68576189875057,-0.028,-0.015,0.0043
39.7179194346275,39.451114654541,-4.58682155609131,0.289386838674545,-9.68576189875057,-0.028,-0.015,0.005375
40.1305767283773,39.8687133789063,-4.57515859603882,0.129637509584427,-17.6792276803753,-0.028,-0.015,0.00645
40.1305767283773,39.8687133789063,-4.57515859603882,0.129637509584427,-17.6792276803753,-0.028,-0.015,0.007525
40.1305767283773,39.8687133789063,-4.57515859603882,0.129637509584427,-17.6792276803753,-0.028,-0.015,0.0086
41.1967079322559,40.9981727600098,-4.03959465026855,0.015806881710887,-69.5455673866854,-0.028,-0.015,0.009675
41.1967079322559,40.9981727600098,-4.03959465026855,0.015806881710887,-69.5455673866854,-0.028,-0.015,0.01075
40.3111641518249,40.0460662841797,-4.61173677444458,-0.185511082410812,-27.1655893320985,-0.028,-0.015,0.011825
40.3111641518249,40.0460662841797,-4.61173677444458,-0.185511082410812,-27.1655893320985,-0.028,-0.015,0.0129
40.3111641518249,40.0460662841797,-4.61173677444458,-0.185511082410812,-27.1655893320985,-0.028,-0.015,0.013975
40.3111641518249,40.0460662841797,-4.61173677444458,-0.185511082410812,-27.1655893320985,-0.028,-0.015,0.01505
40.3111641518249,40.0460662841797,-4.61173677444458,-0.185511082410812,-27.1655893320985,-0.028,-0.015,0.016125
40.125849806632,39.8379402160645,-4.79202222824097,-0.242621123790741,-52.9673878463291,-0.028,-0.015,0.0172
40.125849806632,39.8379402160645,-4.79202222824097,-0.242621123790741,-52.9673878463291,-0.028,-0.015,0.018275
40.125849806632,39.8379402160645,-4.79202222824097,-0.242621123790741,-52.9673878463291,-0.028,-0.015,0.01935
40.125849806632,39.8379402160645,-4.79202222824097,-0.242621123790741,-52.9673878463291,-0.028,-0.015,0.020425
2.506721049822,2.29128193855286,-1.01669931411743,6.59949218970723e-05,-57.9930857585387,-0.028,-0.015,0.0215
