"Pressure (Pa)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","X (m)","Y (m)","Z (m)"
-183.810790008479,44.3373611160203,43.9672927856445,-5.60070705413818,-1.14491760730743,0.055,0.01,0.01075
-121.914201752356,41.7312306223034,41.2690544128418,-5.79837036132813,-2.17707562446594,0.055,0.005,0.01075
-55.2684020471024,23.6594331450254,23.6365280151367,0.0442491695284843,-1.03988564014435,0.055,0,0.01075
-76.2175240154902,36.7813912885939,36.2201690673828,6.12337160110474,1.86397910118103,0.055,-0.005,0.01075
-186.719726351548,44.5172273964446,44.1395683288574,5.69292068481445,1.03571081161499,0.055,-0.01,0.01075
-230.100982693964,45.0256335612717,44.8532257080078,3.88721632957459,0.620782077312469,0.055,-0.015,0.01075
-256.73854008037,45.5183984355754,45.3969688415527,3.28978514671326,0.465971916913986,0.055,-0.02,0.01075
-282.678278998259,45.9954302533187,45.9156837463379,2.69326376914978,0.275536864995956,0.055,-0.025,0.01075
-293.733274662292,46.3003637792022,46.2519607543945,2.11179375648499,0.141914024949074,0.055,-0.03,0.01075
-297.763368731827,46.52850589509,46.5093116760254,1.33456742763519,0.0686879381537437,0.055,-0.035,0.01075
-303.88574669453,46.5175133305511,46.5067596435547,0.99697071313858,0.0800206959247589,0.055,-0.04,0.01075
-314.758241439988,46.3002823466534,46.2957191467285,0.647359013557434,0.0588249489665031,0.055,-0.045,0.01075
-312.049933108298,1.69669023567171,1.69668030738831,-1.41111577249831e-05,0.00580432126298547,0.055,-0.05,0.01075
-312.963040708432,1.69880862949665,1.69872009754181,-0.00023257797874976,-0.017341734841466,0.055,0.05,0.01075
-317.928460551666,46.4416284360302,46.4360504150391,-0.719618618488312,-0.0149226728826761,0.055,0.045,0.01075
-307.287673160172,46.6326130723555,46.622444152832,-0.973799288272858,0.00425655208528042,0.055,0.04,0.01075
-311.338278796844,46.7108542497381,46.6820182800293,-1.63945519924164,-0.072530634701252,0.055,0.035,0.01075
-283.271714114606,46.1676706021053,46.1267852783203,-1.93765890598297,-0.137719556689262,0.055,0.03,0.01075
-288.094733602211,46.131731309861,46.0599937438965,-2.56327676773071,-0.207899421453476,0.055,0.025,0.01075
-260.76237267891,45.4959314693658,45.3965873718262,-2.98382210731506,-0.355585277080536,0.055,0.02,0.01075
-241.835847291528,45.1821356167228,44.9666481018066,-4.37708520889282,-0.516780853271484,0.055,0.015,0.01075
