"Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Velocity: Magnitude (m/s)","Pressure (Pa)","X (m)","Y (m)","Z (m)"
40.2209205627441,0.0677410811185837,0.00725106941536069,40.2209782619301,-39.6835076536981,-0.085,0.015,0.0107500000182539
40.3509330749512,0.20227487385273,0.00156465894542634,40.3514400931607,-44.2064158014946,-0.07,0.015,0.0107500000365078
40.2818603515625,0.59085351228714,0.0100313993170857,40.2861946811155,-39.6091810647913,-0.055,0.015,0.0107500000547618
40.3163566589355,2.0664963722229,-0.00275373738259077,40.3692832372582,-37.2453761781717,-0.04,0.015,0.0107500000730157
40.6050682067871,4.55119657516479,0.015137305483222,40.8593341047262,-51.8055442511613,-0.025,0.015,0.0107500000912696
49.5133399963379,11.2431259155273,-0.030285369604826,50.7738085546965,-580.290375220366,-0.01,0.015,0.0107500001095235
56.8147048950195,-0.125433743000031,-0.0837319791316986,56.8149050599961,-957.013909756293,0.005,0.015,0.0107500001277775
51.9494361877441,-7.10704469680786,-0.518160223960876,52.4358893751657,-666.599262746473,0.02,0.015,0.0107500001460314
47.9385528564453,-6.99615621566772,-0.856161296367645,48.4539375482491,-415.070416322407,0.035,0.015,0.0107500001642853
45.0553283691406,-5.30575180053711,-0.769262790679932,45.3731791024292,-247.962269264528,0.05,0.015,0.0107500001825392
44.3506469726563,-2.9342405796051,-0.701732695102692,44.4531448094233,-214.038868629403,0.065,0.015,0.0107500002007931
44.2280693054199,-2.02637767791748,-0.845363259315491,44.2825356096372,-218.321502930476,0.08,0.015,0.0107500002190471
44.0308036804199,-1.70749819278717,-0.91314834356308,44.0733600116828,-224.616225488606,0.095,0.015,0.010750000237301
43.6060218811035,-1.21937477588654,-0.922361850738525,43.6328175863426,-228.04760901942,0.11,0.015,0.0107500002555549
43.4185066223145,-0.893597900867462,-0.710501670837402,43.4335129496183,-235.85840275736,0.125,0.015,0.0107500002738088
43.2345924377441,-0.638324379920959,-0.624831855297089,43.2438187041713,-238.692368067519,0.14,0.015,0.0107500002920628
43.4469184875488,-0.615054666996002,-0.527016758918762,43.4544677216427,-246.46232250295,0.155,0.015,0.0107500003103167
43.4920310974121,-0.503290891647339,-0.448137879371643,43.4972516173011,-254.819728667462,0.17,0.015,0.0107500003285706
43.4586143493652,-0.307453334331512,-0.409122347831726,43.4616275559848,-266.565181200735,0.185,0.015,0.0107500003468245
