"Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Pressure (Pa)","X (m)","Y (m)","Z (m)"
2.32798379612916,2.05671977996826,-1.09060180187225,0.000107145853689872,-57.2633925272894,-0.028,-0.015,0
39.2303249377235,38.8555488586426,-5.40445232391357,0.237934216856956,-60.6674644575251,-0.028,-0.015,0.001075
40.1066265508748,39.8170433044434,-4.80371046066284,0.262529224157333,-50.5656561201031,-0.028,-0.015,0.00215
40.1066265508748,39.8170433044434,-4.80371046066284,0.262529224157333,-50.5656561201031,-0.028,-0.015,0.003225
40.6957677798922,40.4175262451172,-4.74602842330933,0.210479512810707,-55.5439059374039,-0.028,-0.015,0.0043
40.6957677798922,40.4175262451172,-4.74602842330933,0.210479512810707,-55.5439059374039,-0.028,-0.015,0.005375
40.7760291716428,40.502498626709,-4.71382188796997,0.109741553664207,-56.4239653500263,-0.028,-0.015,0.00645
40.7760291716428,40.502498626709,-4.71382188796997,0.109741553664207,-56.4239653500263,-0.028,-0.015,0.007525
40.7823693816652,40.5079345703125,-4.72313070297241,0.0304235517978668,-56.5606923942541,-0.028,-0.015,0.0086
40.7823693816652,40.5079345703125,-4.72313070297241,0.0304235517978668,-56.5606923942541,-0.028,-0.015,0.009675
40.2768730403706,40.0397071838379,-4.36444139480591,0.0013616003561765,-32.1547084597933,-0.028,-0.015,0.01075
40.8015811156087,40.5273208618164,-4.72268867492676,-0.0386907830834389,-56.5495400117197,-0.028,-0.015,0.011825
40.8015811156087,40.5273208618164,-4.72268867492676,-0.0386907830834389,-56.5495400117197,-0.028,-0.015,0.0129
40.8319972538097,40.5573081970215,-4.72692012786865,-0.113919496536255,-56.2426951077359,-0.028,-0.015,0.013975
40.8319972538097,40.5573081970215,-4.72692012786865,-0.113919496536255,-56.2426951077359,-0.028,-0.015,0.01505
40.7538216653949,40.476634979248,-4.74050664901733,-0.208800867199898,-55.0934210710475,-0.028,-0.015,0.016125
40.7538216653949,40.476634979248,-4.74050664901733,-0.208800867199898,-55.0934210710475,-0.028,-0.015,0.0172
40.0637928533697,39.7523880004883,-4.979651927948,-0.241273149847984,-54.9419882961811,-0.028,-0.015,0.018275
40.0637928533697,39.7523880004883,-4.979651927948,-0.241273149847984,-54.9419882961811,-0.028,-0.015,0.01935
38.8401834682625,38.512809753418,-5.02843761444092,-0.195325121283531,-42.5503068223552,-0.028,-0.015,0.020425
2.27191423923904,2.00146818161011,-1.07504391670227,-7.49726241338067e-05,-45.1714828602089,-0.028,-0.015,0.0215
