"Pressure (Pa)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","X (m)","Y (m)","Z (m)"
-218.109475169011,44.7398331823626,44.5291633605957,4.33577823638916,0.085502490401268,0.055,-0.015,0.01075
-240.13532177452,45.1274016727628,44.9849052429199,3.58291339874268,0.0584260001778603,0.055,-0.02,0.01075
-257.224896787724,45.4246055986276,45.3382530212402,2.79869246482849,0.0701944455504417,0.055,-0.025,0.01075
-272.424310671049,45.8010908441978,45.7503242492676,2.15585684776306,-0.0059040067717433,0.055,-0.03,0.01075
-283.867826473666,46.2852493758692,46.2548446655273,1.67739498615265,-0.000902643834706396,0.055,-0.035,0.01075
-284.90430252318,46.6091643456372,46.5953903198242,1.13304710388184,0.00249042897485197,0.055,-0.04,0.01075
-296.363129101373,46.024096104853,46.0194320678711,0.655016124248505,0.0157574210315943,0.055,-0.045,0.01075
-295.036682821577,1.22729716809282,1.2271443605423,0.000223652386921458,0.0193651020526886,0.055,-0.05,0.01075
-279.360739840544,1.24486080886597,1.24466395378113,-0.000230468111112714,-0.0221364516764879,0.055,0.05,0.01075
-283.489321812762,45.5725950450535,45.5688819885254,-0.581325650215149,-0.0217702705413103,0.055,0.045,0.01075
-271.091836292646,46.3922837072552,46.3800086975098,-1.06659245491028,-0.0340782701969147,0.055,0.04,0.01075
-272.465902036987,46.1260331277885,46.0999069213867,-1.5521160364151,-0.0212074238806963,0.055,0.035,0.01075
-260.402719406062,45.5796378221065,45.5374641418457,-1.95995259284973,-0.0364603661000729,0.055,0.03,0.01075
-245.946647131117,45.1774990982347,45.1029891967773,-2.59275460243225,-0.0664368718862534,0.055,0.025,0.01075
-229.00733305933,44.8585036479317,44.7329444885254,-3.3533296585083,-0.0648623108863831,0.055,0.02,0.01075
-207.896801827475,44.4613834005519,44.2767219543457,-4.04656553268433,-0.108693413436413,0.055,0.015,0.01075
-167.67455160059,43.7104278408887,43.4440078735352,-4.81303024291992,-0.233284801244736,0.055,0.01,0.01075
-104.544140890008,42.2802876853929,41.9490242004395,-5.2698917388916,-0.361021399497986,0.055,0.005,0.01075
-43.7541475258768,14.9127446025241,14.8927183151245,-0.572335481643677,0.518965184688568,0.055,0,0.01075
-111.037406899733,42.6263551003192,42.2663497924805,5.52161598205566,0.271258741617203,0.055,-0.005,0.01075
-176.772873380687,43.9844778692097,43.6773948669434,5.18616962432861,0.15203845500946,0.055,-0.01,0.01075
