"Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Velocity: Magnitude (m/s)","Pressure (Pa)","X (m)","Y (m)","Z (m)"
40.0036964416504,0.00396802509203553,0.0027881155256182,40.0036967356084,-8.10105676532442,-0.1,0.015,0.01075
40.2149887084961,0.0556997284293175,0.00191639945842326,40.215027327565,-16.9396195494615,-0.085,0.015,0.0107500000182539
40.3507995605469,0.187382087111473,-0.00199316046200693,40.35123469232,-22.3150662373669,-0.07,0.015,0.0107500000365078
40.4166793823242,0.584892451763153,0.000948228407651186,40.420911325363,-25.391972916112,-0.055,0.015,0.0107500000547618
40.4473190307617,1.78958034515381,0.0113169243559241,40.4868909977138,-22.4808232713701,-0.04,0.015,0.0107500000730157
40.7033729553223,6.21729278564453,-0.0130221704021096,41.1754716924944,-46.4374042298511,-0.025,0.015,0.0107500000912696
49.3444595336914,9.68476486206055,0.0438010804355145,50.2859053377799,-497.785605556915,-0.01,0.015,0.0107500001095235
56.9586334228516,0.46175217628479,0.209230646491051,56.9608893358813,-988.217677073759,0.005,0.015,0.0107500001277775
50.8363075256348,-7.50615739822388,0.00957470759749413,51.3874756473097,-663.472104731035,0.02,0.015,0.0107500001460314
47.5502777099609,-6.88944625854492,0.346361875534058,48.0480316620006,-400.264883946324,0.035,0.015,0.0107500001642853
45.8430938720703,-4.75361967086792,0.0443133376538754,46.0889153637901,-248.131890621794,0.05,0.015,0.0107500001825392
44.9542198181152,-3.01508665084839,-0.0207636337727308,45.0552223176852,-202.840667040539,0.065,0.015,0.0107500002007931
44.9583778381348,-2.19344449043274,0.068335086107254,45.0119051613358,-212.873928621779,0.08,0.015,0.0107500002190471
44.8566551208496,-1.5259929895401,0.0653456076979637,44.8826518076129,-222.386531299831,0.095,0.015,0.010750000237301
44.6868782043457,-1.19749128818512,0.0547783672809601,44.7029537022424,-228.38137728067,0.11,0.015,0.0107500002555549
44.4937362670898,-0.988046705722809,0.0569215901196003,44.5047418076485,-229.824544767963,0.125,0.015,0.0107500002738088
44.2117614746094,-0.836624801158905,0.0454495921730995,44.2196999018661,-233.570972219035,0.14,0.015,0.0107500002920628
44.1221122741699,-0.755488276481628,0.0235910974442959,44.1285860934863,-235.386812564785,0.155,0.015,0.0107500003103167
44.2037315368652,-0.807438433170319,0.045472290366888,44.2111287611593,-238.845679847121,0.17,0.015,0.0107500003285706
43.726936340332,-0.906906008720398,0.105248741805553,43.7364666784796,-250.720946893578,0.185,0.015,0.0107500003468245
44.106502532959,-1.16109097003937,0.494511783123016,44.1245537069132,-264.6623501267,0.2,0.015,0.0107500003650784
