"Pressure (Pa)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","X (m)","Y (m)","Z (m)"
-304.814807135089,44.3952634113269,44.3939056396484,0.34706911444664,-0.00992214120924473,0.055,-0.045,0.01075
-311.979831925001,1.65766341462326,1.6576532125473,-0.000737875176128,0.0057687652297318,0.055,0.05,0.01075
-319.170595877846,46.6047062386104,46.5998687744141,-0.671470940113068,0.000755743472836912,0.055,0.045,0.01075
-303.473068383744,46.8279716538207,46.8148994445801,-1.10478341579437,-0.0597729794681072,0.055,0.04,0.01075
-297.230919011134,47.1318499930101,47.1087799072266,-1.47448515892029,-0.00573866022750735,0.055,0.035,0.01075
-299.227004394259,47.1015936099188,47.0548629760742,-2.09716868400574,0.0432944297790527,0.055,0.03,0.01075
-269.028220603054,46.7835255198868,46.6810684204102,-3.09437799453735,-0.0305945388972759,0.055,0.025,0.01075
-239.070247086067,46.0956970000554,45.9398078918457,-3.78715848922729,0.0690170899033546,0.055,0.02,0.01075
-201.836907590653,45.0448721378414,44.8378677368164,-4.31220388412476,0.104978054761887,0.055,0.015,0.01075
-160.246739885586,41.9959984239378,41.7425346374512,-4.605140209198,0.131792709231377,0.055,0.01,0.01075
-109.260294840564,35.0385614004317,34.9128837585449,-2.96322560310364,0.10308588296175,0.055,0.005,0.01075
-75.5104853005507,32.0363241595028,31.9609718322754,2.19569802284241,0.0354313664138317,0.055,0,0.01075
-75.5104853005507,32.0363241595028,31.9609718322754,2.19569802284241,0.0354313664138317,0.055,-0.005,0.01075
-160.016741081677,42.4980669117781,42.3044052124023,4.05151414871216,0.0906860828399658,0.055,-0.01,0.01075
-217.512642956112,45.6594669003296,45.4836654663086,4.00255012512207,-0.0518253520131111,0.055,-0.015,0.01075
-246.509776619796,46.2340336277644,46.1075973510742,3.41691470146179,0.00509189488366246,0.055,-0.02,0.01075
-263.680261074838,46.4637174983365,46.3957214355469,2.51278138160706,0.00244307378306985,0.055,-0.025,0.01075
-274.902390455995,46.6300848762172,46.6024017333984,1.60653710365295,-0.00260321982204914,0.055,-0.03,0.01075
-294.612386995804,46.9515930954651,46.9359588623047,1.21135425567627,-0.0219259075820446,0.055,-0.035,0.01075
-297.720248131267,46.6447278645659,46.6375465393066,0.818247377872467,-0.0190153103321791,0.055,-0.04,0.01075
