"Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Velocity: Magnitude (m/s)","Pressure (Pa)","X (m)","Y (m)","Z (m)"
45.4799041748047,-5.19448471069336,-0.683125853538513,45.7806838753072,-287.445887414451,0.05,0.015,0.0107500001825392
47.6391563415527,-6.12071180343628,-1.03882074356079,48.0419762130252,-419.215322485645,0.035,0.015,0.0107500001642853
40.2324638366699,0.0429167374968529,0.00756220845505595,40.2324874374219,-44.1589910587095,-0.085,0.015,0.0107500000182539
40.3955154418945,0.212135151028633,0.00449691666290164,40.3960726972425,-51.3438429360781,-0.07,0.015,0.0107500000365078
40.4228134155273,0.618521511554718,-0.00843873526901007,40.4275461102829,-48.6230338174391,-0.055,0.015,0.0107500000547618
40.3365478515625,1.65875709056854,0.00340208341367543,40.3706400647931,-39.7062220216985,-0.04,0.015,0.0107500000730157
40.5341835021973,5.36443710327148,-0.0422606095671654,40.8876387626368,-59.3895653226282,-0.025,0.015,0.0107500000912696
50.2937202453613,12.1507692337036,-0.000428396189818159,51.7406947119278,-655.779908648268,-0.01,0.015,0.0107500001095235
57.4509735107422,-0.297116458415985,-0.0689706206321716,57.4517831965934,-1018.29152618449,0.005,0.015,0.0107500001277775
51.7525405883789,-6.27836751937866,-0.697725474834442,52.1366490762345,-670.819619504095,0.02,0.015,0.0107500001460314
44.3496627807617,-3.42953705787659,-0.721090614795685,44.4879116712998,-217.937324445651,0.065,0.015,0.0107500002007931
44.1252593994141,-1.92025899887085,-0.810589253902435,44.1744605697327,-217.08135568097,0.08,0.015,0.0107500002190471
44.240047454834,-1.5467871427536,-0.920157790184021,44.2766421449254,-223.236068568676,0.095,0.015,0.010750000237301
44.2013282775879,-1.31740808486938,-0.961133182048798,44.231400187636,-229.180462661345,0.11,0.015,0.0107500002555549
44.115650177002,-1.21728491783142,-1.0034693479538,44.1438480860366,-233.938940895561,0.125,0.015,0.0107500002738088
43.8481864929199,-0.875015258789063,-0.979800939559937,43.8678597643213,-239.544915334933,0.14,0.015,0.0107500002920628
43.8726654052734,-1.15571892261505,-0.997987926006317,43.8992304703809,-248.448240540616,0.155,0.015,0.0107500003103167
43.8996162414551,-1.2408744096756,-0.961710453033447,43.927678773674,-263.208279604223,0.17,0.015,0.0107500003285706
44.2217636108398,-1.53292739391327,-0.913376569747925,44.2577507336983,-292.335384499478,0.185,0.015,0.0107500003468245
45.2815551757813,-2.29794692993164,-1.05623781681061,45.352127155799,-358.768767094691,0.2,0.015,0.0107500003650784
